2024-07-26 15:10:56,660 get_logger.py             INFO     
2024-07-26 15:11:37,812 dsp_client.py             DEBUG    REQUEST: {"method": "PUT", "url": "https://api.stage.dasch.swiss/admin/permissions/http%3A%2F%2Frdfh.ch%2Fpermissions%2F083E%2FgcB0_vbWSHaceG1kMqmmfA/hasPermissions", "headers": {"User-Agent": "DSP-PERMISSIONS-SCRIPTS/0.1.0", "Accept-Encoding": "gzip, deflate", "Accept": "*/*", "Connection": "keep-alive", "Authorization": "Bearer eyJ0e[+378]", "Content-Type": "application/json; charset=UTF-8"}, "timeout": 30, "data": {"hasPermissions": [{"additionalInformation": "http://www.knora.org/ontology/knora-admin#Creator", "name": "CR", "permissionCode": null}, {"additionalInformation": "http://www.knora.org/ontology/knora-admin#ProjectAdmin", "name": "CR", "permissionCode": null}, {"additionalInformation": "http://www.knora.org/ontology/knora-admin#ProjectMember", "name": "D", "permissionCode": null}, {"additionalInformation": "http://www.knora.org/ontology/knora-admin#UnknownUser", "name": "V", "permissionCode": null}, {"additionalInformation": "http://www.knora.org/ontology/knora-admin#KnownUser", "name": "V", "permissionCode": null}]}}
2024-07-26 15:11:37,947 dsp_client.py             DEBUG    RESPONSE: {"status_code": 200, "headers": {"Content-Length": "863", "Content-Type": "application/json", "Date": "Fri, 26 Jul 2024 13:11:37 GMT", "Server": "webapi/v30.18.1 pekko-http/org.apache.pekko"}, "content": {"type": "DefaultObjectAccessPermissionGetResponseADM", "default_object_access_permission": {"iri": "http://rdfh.ch/permissions/083E/gcB0_vbWSHaceG1kMqmmfA", "forProject": "http://rdfh.ch/projects/KQs82YDBRei6YGWrT5Y3ig", "forGroup": "http://www.knora.org/ontology/knora-admin#ProjectMember", "hasPermissions": [{"name": "CR", "additionalInformation": "http://www.knora.org/ontology/knora-admin#ProjectAdmin", "permissionCode": 8}, {"name": "V", "additionalInformation": "http://www.knora.org/ontology/knora-admin#UnknownUser", "permissionCode": 2}, {"name": "V", "additionalInformation": "http://www.knora.org/ontology/knora-admin#KnownUser", "permissionCode": 2}, {"name": "CR", "additionalInformation": "http://www.knora.org/ontology/knora-admin#Creator", "permissionCode": 8}, {"name": "D", "additionalInformation": "http://www.knora.org/ontology/knora-admin#ProjectMember", "permissionCode": 7}]}}}
2024-07-26 15:11:37,948 doap_set.py               INFO     Successfully updated DOAP http://rdfh.ch/permissions/083E/gcB0_vbWSHaceG1kMqmmfA
2024-07-26 15:11:37,948 doap_set.py               INFO     Finished updating 2 DOAPs on https://api.stage.dasch.swiss
2024-07-26 15:11:37,948 doap_get.py               INFO     ****** Retrieving all DOAPs... ******
2024-07-26 15:11:37,948 dsp_client.py             DEBUG    REQUEST: {"method": "GET", "url": "https://api.stage.dasch.swiss/admin/projects/shortcode/083E", "headers": {"User-Agent": "DSP-PERMISSIONS-SCRIPTS/0.1.0", "Accept-Encoding": "gzip, deflate", "Accept": "*/*", "Connection": "keep-alive", "Authorization": "Bearer eyJ0e[+378]"}, "timeout": 30}
2024-07-26 15:11:38,037 dsp_client.py             DEBUG    RESPONSE: {"status_code": 200, "headers": {"Content-Length": "2443", "Content-Type": "application/json", "Date": "Fri, 26 Jul 2024 13:11:37 GMT", "Server": "webapi/v30.18.1 pekko-http/org.apache.pekko"}, "content": {"project": {"id": "http://rdfh.ch/projects/KQs82YDBRei6YGWrT5Y3ig", "shortname": "healingarts", "shortcode": "083E", "longname": "Healing Arts. Representations and Practices of Medical Knowledge in Art and Literature (9th-12th centuries)", "description": [{"value": "Inwieweit Kunst und Literatur in ein spannungsvolles Wechselverh\u00e4ltnis mit pflanzlichen Arzneimitteln treten und sogar selbst als Teil der Heilkunst gedacht werden k\u00f6nnen, wird anhand von drei Aspekten analysiert.1. Herbarien: hier liegt der Fokus auf dem Informations- und Wissensgehalt der Bilder, d.h. welche Informationen liefern die Bilder jenseits der Frage, ob die Pflanzen aus moderner Sicht botanisch korrekt sind. 2. wird nachgezeichnet, wie das in den Herbarien vermittelte Wissen auf andere Kontexte (vegetative Ornamente) und Medien (pharmakologische Gedichte) \u00fcbertragen wurde. Die Beziehung zwischen Medizin und Religion, wie sie in Darstellungen von Christus als Arzt oder Asklepios als Christus zum Ausdruck kommt, bildet den 3. Untersuchungsstrang. Dabei wird auch der praktische Gebrauch von materieller und literarischer Kultur (Arzneik\u00e4stchen/Heilgedichte) als potente Therapeutika analysiert.<br>Methodische Ans\u00e4tze aus der Wissenschaftsgeschichte werden f\u00fcr das Mittelalter ebenso fruchtbar gemacht wie Fragen zur Botanik, \u00d6kologie und Gesundheitsvorsorge. Dadurch zeigt das Projekt einerseits die Bedeutung des pharmakologischen Bild- und Textwissens als auch die Rolle, die Wort und Bild bei der Gestaltung solcher Wechselwirkungen einnehmen.", "language": "de"}, {"value": "The project focuses on the intertwined histories of Botany and Art in the Early Middle Ages. Herbaria with elaborated plant images, poems with pharmacological content, as well as medical boxes used as reliquaries manifest the post-antique interest in pharmacology, especially in the 9th/ 10th century. These visualizations reveal systems of knowledge in which concrete medical practices were being actively articulated and negotiated. It furthermore connects questions that lead us to see plants as a way to approach nature and how the natural world transforms into a visual system.", "language": "en"}], "keywords": ["Art and Science", "Botany", "Ecology", "Herbals", "Manuscript Studies", "Medieval Art History", "Pharmacology", "Plants", "Practical Medicine", "Pre-modern health care"], "ontologies": ["http://api.stage.dasch.swiss/ontology/083E/healingarts/v2"], "status": true, "selfjoin": false}}}
2024-07-26 15:11:38,038 dsp_client.py             DEBUG    REQUEST: {"method": "GET", "url": "https://api.stage.dasch.swiss/admin/permissions/doap/http%3A%2F%2Frdfh.ch%2Fprojects%2FKQs82YDBRei6YGWrT5Y3ig", "headers": {"User-Agent": "DSP-PERMISSIONS-SCRIPTS/0.1.0", "Accept-Encoding": "gzip, deflate", "Accept": "*/*", "Connection": "keep-alive", "Authorization": "Bearer eyJ0e[+378]"}, "timeout": 30}
2024-07-26 15:11:38,085 dsp_client.py             DEBUG    RESPONSE: {"status_code": 200, "headers": {"Content-Length": "1586", "Content-Type": "application/json", "Date": "Fri, 26 Jul 2024 13:11:37 GMT", "Server": "webapi/v30.18.1 pekko-http/org.apache.pekko"}, "content": {"default_object_access_permissions": [{"iri": "http://rdfh.ch/permissions/083E/R7I8gLdVTca6uisUSWVpAw", "forProject": "http://rdfh.ch/projects/KQs82YDBRei6YGWrT5Y3ig", "forGroup": "http://www.knora.org/ontology/knora-admin#ProjectAdmin", "hasPermissions": [{"name": "CR", "additionalInformation": "http://www.knora.org/ontology/knora-admin#ProjectAdmin", "permissionCode": 8}, {"name": "V", "additionalInformation": "http://www.knora.org/ontology/knora-admin#UnknownUser", "permissionCode": 2}, {"name": "V", "additionalInformation": "http://www.knora.org/ontology/knora-admin#KnownUser", "permissionCode": 2}, {"name": "CR", "additionalInformation": "http://www.knora.org/ontology/knora-admin#Creator", "permissionCode": 8}, {"name": "D", "additionalInformation": "http://www.knora.org/ontology/knora-admin#ProjectMember", "permissionCode": 7}]}, {"iri": "http://rdfh.ch/permissions/083E/gcB0_vbWSHaceG1kMqmmfA", "forProject": "http://rdfh.ch/projects/KQs82YDBRei6YGWrT5Y3ig", "forGroup": "http://www.knora.org/ontology/knora-admin#ProjectMember", "hasPermissions": [{"name": "CR", "additionalInformation": "http://www.knora.org/ontology/knora-admin#ProjectAdmin", "permissionCode": 8}, {"name": "V", "additionalInformation": "http://www.knora.org/ontology/knora-admin#UnknownUser", "permissionCode": 2}, {"name": "V", "additionalInformation": "http://www.knora.org/ontology/knora-admin#KnownUser", "permissionCode": 2}, {"name": "CR", "additionalInformation": "http://www.knora.org/ontology/knora-admin#Creator", "permissionCode": 8}, {"name": "D", "additionalInformation": "http://www.knora.org/ontology/knora-admin#ProjectMember", "permissionCode": 7}]}]}}
2024-07-26 15:11:38,087 doap_get.py               INFO     Retrieved 2 DOAPs
2024-07-26 15:11:38,098 doap_serialize.py         INFO     2 DOAPs have been written to file project_data/083E/DOAPs_modified.json
2024-07-26 15:15:16,481 get_logger.py             INFO     
2024-07-26 15:15:16,482 get_logger.py             INFO     ***************************************************************
2024-07-26 15:15:16,482 get_logger.py             INFO     DSP-PERMISSIONS-SCRIPTS
2024-07-26 15:15:16,482 get_logger.py             INFO     Start script for project 083E on server https://api.dasch.swiss
2024-07-26 15:15:16,482 get_logger.py             INFO     ***************************************************************
2024-07-26 15:15:16,482 get_logger.py             INFO     
2024-07-26 15:15:16,487 dsp_client.py             DEBUG    REQUEST: {"method": "POST", "url": "https://api.dasch.swiss/v2/authentication", "headers": {"User-Agent": "DSP-PERMISSIONS-SCRIPTS/0.1.0", "Accept-Encoding": "gzip, deflate", "Accept": "*/*", "Connection": "keep-alive", "Content-Type": "application/json; charset=UTF-8"}, "timeout": 10, "data": {"email": "johannes.nussbaum@dasch.swiss", "password": "*************"}}
2024-07-26 15:15:16,943 dsp_client.py             DEBUG    RESPONSE: {"status_code": 200, "headers": {"Content-Length": "379", "Content-Type": "application/json", "Date": "Fri, 26 Jul 2024 13:15:16 GMT", "Server": "webapi/v30.17.1 pekko-http/org.apache.pekko", "Set-Cookie": "Knora[+452]"}, "content": {"token": "eyJ0e[+362]"}}
2024-07-26 15:15:16,943 doap_get.py               INFO     ****** Retrieving all DOAPs... ******
2024-07-26 15:15:16,946 dsp_client.py             DEBUG    REQUEST: {"method": "GET", "url": "https://api.dasch.swiss/admin/projects/shortcode/083E", "headers": {"User-Agent": "DSP-PERMISSIONS-SCRIPTS/0.1.0", "Accept-Encoding": "gzip, deflate", "Accept": "*/*", "Connection": "keep-alive", "Authorization": "Bearer eyJ0e[+362]"}, "timeout": 30}
2024-07-26 15:15:17,007 dsp_client.py             DEBUG    RESPONSE: {"status_code": 200, "headers": {"Content-Length": "2437", "Content-Type": "application/json", "Date": "Fri, 26 Jul 2024 13:15:16 GMT", "Server": "webapi/v30.17.1 pekko-http/org.apache.pekko"}, "content": {"project": {"id": "http://rdfh.ch/projects/KQs82YDBRei6YGWrT5Y3ig", "shortname": "healingarts", "shortcode": "083E", "longname": "Healing Arts. Representations and Practices of Medical Knowledge in Art and Literature (9th-12th centuries)", "description": [{"value": "Inwieweit Kunst und Literatur in ein spannungsvolles Wechselverh\u00e4ltnis mit pflanzlichen Arzneimitteln treten und sogar selbst als Teil der Heilkunst gedacht werden k\u00f6nnen, wird anhand von drei Aspekten analysiert.1. Herbarien: hier liegt der Fokus auf dem Informations- und Wissensgehalt der Bilder, d.h. welche Informationen liefern die Bilder jenseits der Frage, ob die Pflanzen aus moderner Sicht botanisch korrekt sind. 2. wird nachgezeichnet, wie das in den Herbarien vermittelte Wissen auf andere Kontexte (vegetative Ornamente) und Medien (pharmakologische Gedichte) \u00fcbertragen wurde. Die Beziehung zwischen Medizin und Religion, wie sie in Darstellungen von Christus als Arzt oder Asklepios als Christus zum Ausdruck kommt, bildet den 3. Untersuchungsstrang. Dabei wird auch der praktische Gebrauch von materieller und literarischer Kultur (Arzneik\u00e4stchen/Heilgedichte) als potente Therapeutika analysiert.<br>Methodische Ans\u00e4tze aus der Wissenschaftsgeschichte werden f\u00fcr das Mittelalter ebenso fruchtbar gemacht wie Fragen zur Botanik, \u00d6kologie und Gesundheitsvorsorge. Dadurch zeigt das Projekt einerseits die Bedeutung des pharmakologischen Bild- und Textwissens als auch die Rolle, die Wort und Bild bei der Gestaltung solcher Wechselwirkungen einnehmen.", "language": "de"}, {"value": "The project focuses on the intertwined histories of Botany and Art in the Early Middle Ages. Herbaria with elaborated plant images, poems with pharmacological content, as well as medical boxes used as reliquaries manifest the post-antique interest in pharmacology, especially in the 9th/ 10th century. These visualizations reveal systems of knowledge in which concrete medical practices were being actively articulated and negotiated. It furthermore connects questions that lead us to see plants as a way to approach nature and how the natural world transforms into a visual system.", "language": "en"}], "keywords": ["Art and Science", "Botany", "Ecology", "Herbals", "Manuscript Studies", "Medieval Art History", "Pharmacology", "Plants", "Practical Medicine", "Pre-modern health care"], "ontologies": ["http://api.dasch.swiss/ontology/083E/healingarts/v2"], "status": true, "selfjoin": false}}}
2024-07-26 15:15:17,008 dsp_client.py             DEBUG    REQUEST: {"method": "GET", "url": "https://api.dasch.swiss/admin/permissions/doap/http%3A%2F%2Frdfh.ch%2Fprojects%2FKQs82YDBRei6YGWrT5Y3ig", "headers": {"User-Agent": "DSP-PERMISSIONS-SCRIPTS/0.1.0", "Accept-Encoding": "gzip, deflate", "Accept": "*/*", "Connection": "keep-alive", "Authorization": "Bearer eyJ0e[+362]"}, "timeout": 30}
2024-07-26 15:15:17,062 dsp_client.py             DEBUG    RESPONSE: {"status_code": 200, "headers": {"Content-Length": "924", "Content-Type": "application/json", "Date": "Fri, 26 Jul 2024 13:15:16 GMT", "Server": "webapi/v30.17.1 pekko-http/org.apache.pekko"}, "content": {"default_object_access_permissions": [{"iri": "http://rdfh.ch/permissions/083E/R7I8gLdVTca6uisUSWVpAw", "forProject": "http://rdfh.ch/projects/KQs82YDBRei6YGWrT5Y3ig", "forGroup": "http://www.knora.org/ontology/knora-admin#ProjectAdmin", "hasPermissions": [{"name": "CR", "additionalInformation": "http://www.knora.org/ontology/knora-admin#ProjectAdmin", "permissionCode": 8}, {"name": "M", "additionalInformation": "http://www.knora.org/ontology/knora-admin#ProjectMember", "permissionCode": 6}]}, {"iri": "http://rdfh.ch/permissions/083E/gcB0_vbWSHaceG1kMqmmfA", "forProject": "http://rdfh.ch/projects/KQs82YDBRei6YGWrT5Y3ig", "forGroup": "http://www.knora.org/ontology/knora-admin#ProjectMember", "hasPermissions": [{"name": "CR", "additionalInformation": "http://www.knora.org/ontology/knora-admin#ProjectAdmin", "permissionCode": 8}, {"name": "M", "additionalInformation": "http://www.knora.org/ontology/knora-admin#ProjectMember", "permissionCode": 6}]}]}}
2024-07-26 15:15:17,070 doap_get.py               INFO     Retrieved 2 DOAPs
2024-07-26 15:15:17,079 doap_serialize.py         INFO     2 DOAPs have been written to file project_data/083E/DOAPs_original.json
2024-07-26 15:15:17,080 doap_set.py               INFO     ****** Updating 2 DOAPs on https://api.dasch.swiss... ******
2024-07-26 15:15:17,080 dsp_client.py             DEBUG    REQUEST: {"method": "PUT", "url": "https://api.dasch.swiss/admin/permissions/http%3A%2F%2Frdfh.ch%2Fpermissions%2F083E%2FR7I8gLdVTca6uisUSWVpAw/hasPermissions", "headers": {"User-Agent": "DSP-PERMISSIONS-SCRIPTS/0.1.0", "Accept-Encoding": "gzip, deflate", "Accept": "*/*", "Connection": "keep-alive", "Authorization": "Bearer eyJ0e[+362]", "Content-Type": "application/json; charset=UTF-8"}, "timeout": 30, "data": {"hasPermissions": [{"additionalInformation": "http://www.knora.org/ontology/knora-admin#Creator", "name": "CR", "permissionCode": null}, {"additionalInformation": "http://www.knora.org/ontology/knora-admin#ProjectAdmin", "name": "CR", "permissionCode": null}, {"additionalInformation": "http://www.knora.org/ontology/knora-admin#ProjectMember", "name": "D", "permissionCode": null}, {"additionalInformation": "http://www.knora.org/ontology/knora-admin#UnknownUser", "name": "V", "permissionCode": null}, {"additionalInformation": "http://www.knora.org/ontology/knora-admin#KnownUser", "name": "V", "permissionCode": null}]}}
2024-07-26 15:15:17,194 dsp_client.py             DEBUG    RESPONSE: {"status_code": 200, "headers": {"Content-Length": "862", "Content-Type": "application/json", "Date": "Fri, 26 Jul 2024 13:15:16 GMT", "Server": "webapi/v30.17.1 pekko-http/org.apache.pekko"}, "content": {"type": "DefaultObjectAccessPermissionGetResponseADM", "default_object_access_permission": {"iri": "http://rdfh.ch/permissions/083E/R7I8gLdVTca6uisUSWVpAw", "forProject": "http://rdfh.ch/projects/KQs82YDBRei6YGWrT5Y3ig", "forGroup": "http://www.knora.org/ontology/knora-admin#ProjectAdmin", "hasPermissions": [{"name": "CR", "additionalInformation": "http://www.knora.org/ontology/knora-admin#ProjectAdmin", "permissionCode": 8}, {"name": "V", "additionalInformation": "http://www.knora.org/ontology/knora-admin#UnknownUser", "permissionCode": 2}, {"name": "V", "additionalInformation": "http://www.knora.org/ontology/knora-admin#KnownUser", "permissionCode": 2}, {"name": "CR", "additionalInformation": "http://www.knora.org/ontology/knora-admin#Creator", "permissionCode": 8}, {"name": "D", "additionalInformation": "http://www.knora.org/ontology/knora-admin#ProjectMember", "permissionCode": 7}]}}}
2024-07-26 15:15:17,195 doap_set.py               INFO     Successfully updated DOAP http://rdfh.ch/permissions/083E/R7I8gLdVTca6uisUSWVpAw
2024-07-26 15:15:17,196 dsp_client.py             DEBUG    REQUEST: {"method": "PUT", "url": "https://api.dasch.swiss/admin/permissions/http%3A%2F%2Frdfh.ch%2Fpermissions%2F083E%2FgcB0_vbWSHaceG1kMqmmfA/hasPermissions", "headers": {"User-Agent": "DSP-PERMISSIONS-SCRIPTS/0.1.0", "Accept-Encoding": "gzip, deflate", "Accept": "*/*", "Connection": "keep-alive", "Authorization": "Bearer eyJ0e[+362]", "Content-Type": "application/json; charset=UTF-8"}, "timeout": 30, "data": {"hasPermissions": [{"additionalInformation": "http://www.knora.org/ontology/knora-admin#Creator", "name": "CR", "permissionCode": null}, {"additionalInformation": "http://www.knora.org/ontology/knora-admin#ProjectAdmin", "name": "CR", "permissionCode": null}, {"additionalInformation": "http://www.knora.org/ontology/knora-admin#ProjectMember", "name": "D", "permissionCode": null}, {"additionalInformation": "http://www.knora.org/ontology/knora-admin#UnknownUser", "name": "V", "permissionCode": null}, {"additionalInformation": "http://www.knora.org/ontology/knora-admin#KnownUser", "name": "V", "permissionCode": null}]}}
2024-07-26 15:15:17,301 dsp_client.py             DEBUG    RESPONSE: {"status_code": 200, "headers": {"Content-Length": "863", "Content-Type": "application/json", "Date": "Fri, 26 Jul 2024 13:15:16 GMT", "Server": "webapi/v30.17.1 pekko-http/org.apache.pekko"}, "content": {"type": "DefaultObjectAccessPermissionGetResponseADM", "default_object_access_permission": {"iri": "http://rdfh.ch/permissions/083E/gcB0_vbWSHaceG1kMqmmfA", "forProject": "http://rdfh.ch/projects/KQs82YDBRei6YGWrT5Y3ig", "forGroup": "http://www.knora.org/ontology/knora-admin#ProjectMember", "hasPermissions": [{"name": "CR", "additionalInformation": "http://www.knora.org/ontology/knora-admin#ProjectAdmin", "permissionCode": 8}, {"name": "V", "additionalInformation": "http://www.knora.org/ontology/knora-admin#UnknownUser", "permissionCode": 2}, {"name": "V", "additionalInformation": "http://www.knora.org/ontology/knora-admin#KnownUser", "permissionCode": 2}, {"name": "CR", "additionalInformation": "http://www.knora.org/ontology/knora-admin#Creator", "permissionCode": 8}, {"name": "D", "additionalInformation": "http://www.knora.org/ontology/knora-admin#ProjectMember", "permissionCode": 7}]}}}
2024-07-26 15:15:17,302 doap_set.py               INFO     Successfully updated DOAP http://rdfh.ch/permissions/083E/gcB0_vbWSHaceG1kMqmmfA
2024-07-26 15:15:17,302 doap_set.py               INFO     Finished updating 2 DOAPs on https://api.dasch.swiss
2024-07-26 15:15:17,302 doap_get.py               INFO     ****** Retrieving all DOAPs... ******
